Culture,Fungus,Lichen
ASV1938,ASV581,ASV216
ASV1939,ASV586,ASV217
ASV1941,ASV588,ASV2174
ASV1942,ASV597,ASV2188
ASV1943,ASV606,ASV2189
ASV195,ASV610,ASV219
ASV196,ASV613,ASV2196
ASV1971,ASV624,ASV2197
ASV1972,ASV625,ASV2198
ASV1973,ASV63,ASV2199
ASV1974,ASV630,ASV220
ASV1975,ASV635,ASV2200
ASV1976,ASV636,ASV2201
ASV1979,ASV645,ASV2202
ASV198,ASV650,ASV2203
ASV1982,ASV651,ASV2204
ASV1983,ASV652,ASV2205
ASV1984,ASV662,ASV2206
ASV1985,ASV668,ASV2208
ASV1986,ASV676,ASV2209
ASV200,ASV680,ASV2210
ASV201,ASV689,ASV2211
ASV2011,ASV693,ASV2212
ASV2016,ASV697,ASV222
ASV2017,ASV706,ASV223
ASV2018,ASV709,ASV224
ASV2019,ASV717,ASV225
ASV2020,ASV723,ASV2253
ASV2023,ASV731,ASV2255
ASV2026,ASV739,ASV2256
ASV2027,ASV74,ASV2257
ASV2028,ASV740,ASV2258
ASV2029,ASV753,ASV2259
ASV2030,ASV764,ASV226
ASV2031,ASV768,ASV2261
ASV204,ASV769,ASV2262
ASV205,ASV780,ASV2263
ASV2063,ASV783,ASV2264
ASV2064,ASV789,ASV2266
ASV2066,ASV794,ASV2268
ASV2067,ASV82,ASV2269
ASV2068,ASV83,ASV227
ASV207,ASV832,ASV2270
ASV2070,ASV839,ASV2271
ASV2071,ASV84,ASV228
ASV2072,ASV85,ASV229
ASV2075,ASV852,ASV2293
ASV2078,ASV868,ASV230
ASV2080,ASV88,ASV2305
ASV2081,ASV887,ASV2308
ASV2083,ASV899,ASV2309
ASV2084,ASV903,ASV231
ASV209,ASV91,ASV2310
ASV210,ASV928,ASV2311
ASV2119,ASV941,ASV2312
ASV2121,ASV962,ASV2313
ASV2123,ASV963,ASV2314
ASV2124,ASV97,ASV2315
ASV2125,ASV979,ASV2316
ASV2129,ASV980,ASV2318
ASV213,,ASV2319
ASV2130,,ASV2320
ASV2131,,ASV2321
ASV2134,,ASV2322
ASV2135,,ASV2323
ASV2137,,ASV2325
ASV2138,,ASV233
ASV2139,,ASV234
ASV214,,ASV235
ASV216,,ASV2363
ASV2167,,ASV2365
ASV2169,,ASV2366
ASV217,,ASV2367
ASV2170,,ASV2368
ASV2171,,ASV237
ASV2172,,ASV2371
ASV2174,,ASV2372
ASV2178,,ASV2375
ASV2179,,ASV2376
ASV218,,ASV238
ASV2181,,ASV239
ASV2182,,ASV2398
ASV2183,,ASV2399
ASV2184,,ASV240
ASV2185,,ASV2400
ASV2186,,ASV2401
ASV2188,,ASV2402
ASV2189,,ASV2403
ASV219,,ASV2404
ASV2190,,ASV2405
ASV2191,,ASV2406
ASV221,,ASV2407
ASV2216,,ASV2408
ASV2217,,ASV241
ASV2218,,ASV2411
ASV222,,ASV2412
ASV2220,,ASV2413
ASV2221,,ASV2414
ASV2222,,ASV2415
ASV2224,,ASV2416
ASV2225,,ASV242
ASV2226,,ASV245
ASV2229,,ASV2454
ASV2233,,ASV2456
ASV2234,,ASV2457
ASV2239,,ASV2458
ASV224,,ASV2459
ASV2240,,ASV246
ASV2241,,ASV2460
ASV2243,,ASV2461
ASV2244,,ASV2462
ASV2245,,ASV2464
ASV2246,,ASV2466
ASV2247,,ASV2467
ASV225,,ASV2468
ASV226,,ASV247
ASV2276,,ASV2470
ASV2277,,ASV2471
ASV228,,ASV2472
ASV2280,,ASV2473
ASV2284,,ASV2474
ASV2286,,ASV2475
ASV229,,ASV2476
ASV2291,,ASV248
ASV2293,,ASV249
ASV2294,,ASV250
ASV2295,,ASV251
ASV2296,,ASV2513
ASV2297,,ASV2514
ASV2298,,ASV2515
ASV2299,,ASV2517
ASV230,,ASV2518
ASV2300,,ASV2519
ASV231,,ASV252
ASV233,,ASV2520
ASV2334,,ASV2521
ASV2335,,ASV2522
ASV2336,,ASV2523
ASV2337,,ASV2524
ASV2339,,ASV2525
ASV234,,ASV2526
ASV2340,,ASV2527
ASV2341,,ASV2528
ASV2342,,ASV2529
ASV2344,,ASV253
ASV2346,,ASV2532
ASV2347,,ASV2533
ASV2348,,ASV2534
ASV2349,,ASV2536
ASV235,,ASV2537
ASV2352,,ASV2538
ASV2356,,ASV254
ASV237,,ASV2540
ASV238,,ASV2542
ASV2385,,ASV2544
ASV2387,,ASV2545
ASV2388,,ASV2546
ASV2389,,ASV2547
ASV2390,,ASV256
ASV2392,,ASV257
ASV2393,,ASV2579
ASV2395,,ASV258
ASV240,,ASV2580
ASV241,,ASV2581
ASV242,,ASV2582
ASV2421,,ASV2584
ASV2422,,ASV2585
ASV2428,,ASV2586
ASV2429,,ASV2587
ASV243,,ASV2588
ASV2430,,ASV259
ASV2431,,ASV2593
ASV2433,,ASV2595
ASV2434,,ASV2596
ASV2436,,ASV2597
ASV2437,,ASV2599
ASV2438,,ASV260
ASV2439,,ASV2600
ASV2440,,ASV2602
ASV2441,,ASV2604
ASV2442,,ASV261
ASV245,,ASV262
ASV246,,ASV264
ASV247,,ASV2644
ASV248,,ASV2645
ASV2485,,ASV2647
ASV249,,ASV2648
ASV2490,,ASV265
ASV2491,,ASV2650
ASV2492,,ASV2651
ASV2496,,ASV2652
ASV2497,,ASV2653
ASV2498,,ASV2654
ASV250,,ASV2655
ASV2500,,ASV2656
ASV2502,,ASV2658
ASV2503,,ASV2659
ASV2505,,ASV2663
ASV251,,ASV2664
ASV252,,ASV2665
ASV253,,ASV2666
ASV2551,,ASV2668
ASV2552,,ASV2669
ASV2554,,ASV267
ASV2555,,ASV2670
ASV2558,,ASV2671
ASV2559,,ASV2672
ASV256,,ASV2673
ASV2560,,ASV2674
ASV2561,,ASV2675
ASV2562,,ASV2676
ASV2565,,ASV2677
ASV2566,,ASV268
ASV2567,,ASV269
ASV2569,,ASV270
ASV257,,ASV2707
ASV2570,,ASV2708
ASV2572,,ASV2709
ASV259,,ASV2710
ASV2611,,ASV2712
ASV2612,,ASV2714
ASV2613,,ASV2715
ASV2616,,ASV2716
ASV2617,,ASV2717
ASV2618,,ASV2718
ASV2619,,ASV2719
ASV262,,ASV272
ASV2620,,ASV2720
ASV2622,,ASV2721
ASV2625,,ASV2722
ASV2626,,ASV2723
ASV2627,,ASV2724
ASV2628,,ASV2727
ASV2629,,ASV2728
ASV263,,ASV2729
ASV2630,,ASV273
ASV2631,,ASV2730
ASV2632,,ASV2731
ASV2634,,ASV2732
ASV2635,,ASV2733
ASV2636,,ASV2734
ASV2639,,ASV2737
ASV264,,ASV2738
ASV2640,,ASV2739
ASV2641,,ASV274
ASV2642,,ASV275
ASV265,,ASV277
ASV267,,ASV278
ASV2685,,ASV2785
ASV2688,,ASV2786
ASV269,,ASV2787
ASV2690,,ASV2788
ASV2691,,ASV2789
ASV2692,,ASV279
ASV2694,,ASV2790
ASV2695,,ASV2792
ASV2697,,ASV2793
ASV2699,,ASV2794
ASV2703,,ASV2795
ASV272,,ASV2796
ASV273,,ASV2797
ASV274,,ASV2798
ASV2744,,ASV280
ASV2745,,ASV2800
ASV2747,,ASV2801
ASV2748,,ASV2802
ASV2749,,ASV2803
ASV275,,ASV2806
ASV2756,,ASV2807
ASV2757,,ASV2808
ASV2758,,ASV282
ASV2760,,ASV283
ASV2763,,ASV284
ASV2764,,ASV285
ASV2765,,ASV2852
ASV2766,,ASV2853
ASV2769,,ASV2854
ASV277,,ASV2855
ASV2770,,ASV2856
ASV2772,,ASV2857
ASV2773,,ASV2858
ASV2776,,ASV2859
ASV2777,,ASV286
ASV2778,,ASV2861
ASV280,,ASV2862
ASV2813,,ASV2863
ASV2814,,ASV2864
ASV2815,,ASV2865
ASV2816,,ASV2866
ASV2819,,ASV2867
ASV282,,ASV2868
ASV2825,,ASV2869
ASV2827,,ASV287
ASV2828,,ASV2870
ASV283,,ASV2873
ASV2830,,ASV2874
ASV2831,,ASV2875
ASV2832,,ASV2876
ASV2833,,ASV2878
ASV2835,,ASV2879
ASV2836,,ASV288
ASV2837,,ASV2880
ASV2838,,ASV289
ASV2839,,ASV291
ASV2840,,ASV292
ASV2843,,ASV293
ASV285,,ASV2930
ASV286,,ASV2931
ASV287,,ASV2932
ASV288,,ASV2933
ASV2888,,ASV2934
ASV289,,ASV2935
ASV2890,,ASV2936
ASV2892,,ASV2937
ASV2894,,ASV2938
ASV2895,,ASV2939
ASV2896,,ASV294
ASV2899,,ASV2940
ASV2900,,ASV2941
ASV2901,,ASV2942
ASV2902,,ASV2944
ASV2903,,ASV2945
ASV2906,,ASV2946
ASV2907,,ASV2947
ASV2908,,ASV2948
ASV2909,,ASV2949
ASV291,,ASV295
ASV2912,,ASV2950
ASV2913,,ASV2952
ASV2914,,ASV2953
ASV2915,,ASV2954
ASV2916,,ASV2955
ASV2919,,ASV2957
ASV2920,,ASV2958
ASV2921,,ASV2959
ASV2922,,ASV296
ASV293,,ASV2960
ASV294,,ASV2961
ASV295,,ASV298
ASV296,,ASV300
ASV2965,,ASV3007
ASV2966,,ASV3008
ASV2967,,ASV3009
ASV2968,,ASV301
ASV2969,,ASV3010
ASV2970,,ASV3011
ASV2972,,ASV3012
ASV2973,,ASV3013
ASV2976,,ASV3014
ASV2977,,ASV3017
ASV2978,,ASV3018
ASV2979,,ASV3019
ASV298,,ASV302
ASV2980,,ASV3020
ASV2985,,ASV3021
ASV2987,,ASV3022
ASV2988,,ASV3023
ASV2989,,ASV3024
ASV2993,,ASV3025
ASV2995,,ASV3026
ASV2996,,ASV3028
ASV2997,,ASV3029
ASV2998,,ASV3030
ASV300,,ASV3032
ASV301,,ASV3033
ASV302,,ASV3034
ASV3052,,ASV3035
ASV3054,,ASV3037
