Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg2794,0,0,0,0,0,0,0,27077,3048994,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,5043,0,2619,9351,8907,0
neg2798,0,0,0,3436,15675,0,0,0,513523,0,13513,108863,29140,16944,0,0,0,0,0,3307,5274,0,0,0,0,0,0,0,0,0
neg2804,71831,86994,111412,354427,635200,20529,6005437,721514,412806,2007883,316684,743761,8985,13713,1578480,1184882,115195,71109,34703,80779,471851,394434,8298599,10386446,213590,348223,113324,245388,134333,232426
neg2806,0,6028,1670,6475,310784,0,490858,5465,36074468,0,26409,129286,118540,9261,61603,0,32224,2931,0,0,11925,4859,11422,0,0,0,0,0,0,16007
neg2807,0,0,0,0,4201,0,0,0,1787857,0,0,6097,158361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5649,0
neg2813,10193,0,15862,15186,89282,24153,0,0,53988,37458,5476751,12336467,0,5633,73191,48661,3839,483833,1051192,535566,836518,530415,0,0,209214,486865,163687,322937,192428,261737
neg2819,0,0,0,0,23991,0,0,0,37323420,0,0,0,0,0,25009,276513,1789,0,0,52957,13296,95445,17340,8584,28099,1979,6725,13030,11406,4413
neg2822,0,0,0,0,41589,0,7943,0,30441599,0,0,5103,49202,4294,6717,0,5545,19485,179447,12426,239880,688548,13928,9764,26286,4298,9105,9648,6667,3912
neg2824,11584,35427,743539,692299,239865,43140,24458,95890,1026903,1142408,7539674,7356387,113145,833732,14665,3016,9992,75236,35187,16809,55655,3772,29732,1223,1314767,93483,106543,958144,781312,17969
neg2825,0,0,4887,0,22410,42717,77554,29689,4594594,7938,9805,57759,6283,20069,7813,0,1790,5464,3472,0,6744,5694,17577,23528,0,1095,0,2496,1049,6940
neg2828,123290,96968,243963,87724,155192,130324,94181,72110,571390,71517,506114,520904,74790,1194339,5562219,2804555,2000583,1391192,1145941,650987,1915932,3541869,10824818,6354726,10259990,1402865,717139,4560480,9818776,7334379
