Culture,Fungus,Lichen
neg14776,neg1532,neg14658
neg14780,neg15337,neg14663
neg14782,neg15339,neg1467
neg14787,neg15341,neg1468
neg14794,neg15343,neg14692
neg14797,neg15346,neg14698
neg14798,neg1535,neg14733
neg1480,neg15353,neg14734
neg14801,neg15358,neg14738
neg14807,neg15377,neg1475
neg14809,neg1540,neg1477
neg14810,neg15400,neg14774
neg14817,neg15408,neg14775
neg1483,neg15412,neg14776
neg14844,neg1542,neg14779
neg14848,neg15434,neg14780
neg14861,neg15489,neg14782
neg14873,neg1549,neg14787
neg1489,neg15492,neg14794
neg14899,neg15495,neg14797
neg1490,neg15496,neg14798
neg14909,neg15514,neg1480
neg14913,neg15529,neg14801
neg14922,neg1554,neg14807
neg14949,neg15552,neg14809
neg14952,neg1558,neg14810
neg14977,neg15580,neg14817
neg1498,neg15581,neg1483
neg14988,neg15595,neg14844
neg1499,neg15603,neg14848
neg14992,neg15609,neg14861
neg14995,neg15610,neg14873
neg1501,neg15611,neg1489
neg15011,neg15614,neg14899
neg15025,neg15615,neg1490
neg1503,neg15616,neg14909
neg15052,neg15620,neg14913
neg15053,neg15621,neg14922
neg15054,neg15628,neg14949
neg15055,neg15632,neg14952
neg15058,neg15641,neg14977
neg1506,neg15644,neg1498
neg15060,neg15652,neg14988
neg15061,neg15658,neg1499
neg15063,neg15664,neg14992
neg1507,neg15668,neg14995
neg15076,neg1568,neg1501
neg1508,neg15680,neg15011
neg15088,neg15684,neg15025
neg1509,neg15686,neg15052
neg15092,neg1570,neg15053
neg15109,neg15700,neg15055
neg15157,neg15710,neg15058
neg15162,neg15715,neg1506
neg15183,neg15727,neg15060
neg1519,neg15740,neg15061
neg15197,neg1575,neg15063
neg1520,neg15764,neg1507
neg15206,neg15781,neg15076
neg1521,neg15800,neg1508
neg15211,neg15817,neg15088
neg15235,neg15819,neg1509
neg15238,neg15830,neg15092
neg1524,neg15847,neg15109
neg15244,neg15859,neg15157
neg15256,neg15872,neg15162
neg15258,neg15877,neg15183
neg15259,neg15882,neg1519
neg1526,neg1590,neg15197
neg15260,neg15915,neg1520
neg15261,neg15918,neg15206
neg15263,neg15943,neg1521
neg15266,neg15949,neg15211
neg15277,neg1595,neg15235
neg15280,neg15966,neg15238
neg15282,neg1597,neg1524
neg15289,neg15981,neg15244
neg15293,neg16012,neg15256
neg15317,neg16027,neg15259
neg1532,neg16049,neg1526
neg15337,neg16074,neg15261
neg15339,neg16115,neg15263
neg15341,neg16147,neg15266
neg15343,neg1616,neg15277
neg15346,neg1619,neg15280
neg1535,neg16190,neg15282
neg15353,neg1620,neg15289
neg15356,neg16215,neg15293
neg15358,neg1623,neg15317
neg15376,neg16245,neg1532
neg15377,neg16246,neg15337
neg1540,neg16251,neg15339
neg15400,neg16257,neg15341
neg15408,neg16260,neg15343
neg15412,neg16263,neg15346
neg1542,neg1627,neg1535
neg15434,neg16289,neg15353
neg15489,neg1630,neg15356
neg1549,neg16323,neg15358
neg15492,neg16341,neg15376
neg15495,neg16374,neg15377
neg15496,neg16375,neg1540
neg15514,neg16380,neg15400
neg15529,neg16381,neg15408
neg1554,neg16395,neg15412
neg15552,neg16404,neg1542
neg1558,neg16414,neg15434
neg15580,neg1642,neg15489
neg15581,neg16437,neg1549
neg15595,neg1650,neg15492
neg15603,neg1651,neg15495
neg15609,neg16553,neg15496
neg15610,neg16566,neg15514
neg15611,neg1657,neg15529
neg15614,neg16617,neg1554
neg15615,neg16625,neg15552
neg15616,neg1663,neg1558
neg15620,neg16631,neg15580
neg15621,neg16632,neg15581
neg15628,neg16633,neg15595
neg15632,neg16634,neg15603
neg15641,neg16643,neg15609
neg15644,neg16652,neg15610
