OTU,Phylum,Order
ASV3107,Acidobacteriota,Acidobacteriales
ASV3108,Acidobacteriota,Acidobacteriales
ASV3112,Planctomycetota,Isosphaerales
ASV3113,Proteobacteria,Rhizobiales
ASV3114,Firmicutes,Bacillales
ASV3130,Acidobacteriota,Acidobacteriales
ASV3131,Proteobacteria,Sphingomonadales
ASV3132,Proteobacteria,Rhizobiales
ASV3133,Acidobacteriota,Acidobacteriales
ASV3134,Proteobacteria,Others
ASV3136,Proteobacteria,Caulobacterales
ASV3137,Others,Bacteroidota
ASV3139,Acidobacteriota,Acidobacteriales
ASV3140,Actinobacteriota,Solirubrobacterales
ASV3141,Acidobacteriota,Acidobacteriales
ASV3142,Acidobacteriota,Acidobacteriales
ASV3143,Acidobacteriota,Others
ASV3144,Actinobacteriota,Others
ASV3145,Planctomycetota,Others
ASV3146,Proteobacteria,Others
ASV3147,Actinobacteriota,Solirubrobacterales
ASV3148,Planctomycetota,Tepidisphaerales
ASV3149,Actinobacteriota,Corynebacteriales
ASV3150,Actinobacteriota,Others
ASV3151,Verrucomicrobiota,Chthoniobacterales
ASV3155,Acidobacteriota,Acidobacteriales
ASV3156,Firmicutes,Bacillales
ASV3157,Actinobacteriota,Micrococcales
ASV3159,Acidobacteriota,Others
ASV3162,Acidobacteriota,Acidobacteriales
ASV3164,Proteobacteria,Rhizobiales
ASV3165,Actinobacteriota,Micrococcales
ASV3166,Actinobacteriota,Pseudonocardiales
ASV3167,Actinobacteriota,Others
ASV3168,Actinobacteriota,Others
ASV3169,Actinobacteriota,Others
ASV3171,Actinobacteriota,Solirubrobacterales
ASV3172,Acidobacteriota,Acidobacteriales
ASV3173,Acidobacteriota,Acidobacteriales
ASV3174,Proteobacteria,Acetobacterales
ASV3175,Actinobacteriota,Others
ASV3176,Actinobacteriota,Others
ASV3177,Actinobacteriota,Others
ASV3178,Actinobacteriota,Solirubrobacterales
ASV3179,Actinobacteriota,Pseudonocardiales
ASV3180,Actinobacteriota,Solirubrobacterales
ASV3181,Actinobacteriota,Others
ASV3184,Actinobacteriota,Others
ASV3186,Acidobacteriota,Acidobacteriales
ASV3187,Actinobacteriota,Corynebacteriales
ASV3188,Proteobacteria,Acetobacterales
ASV3189,Actinobacteriota,Others
ASV3190,Planctomycetota,Isosphaerales
ASV3191,Proteobacteria,Rhizobiales
ASV3192,Actinobacteriota,Others
ASV3193,Actinobacteriota,Solirubrobacterales
ASV3194,Acidobacteriota,Acidobacteriales
ASV3195,Acidobacteriota,Acidobacteriales
ASV3196,Acidobacteriota,Acidobacteriales
ASV3197,Planctomycetota,Tepidisphaerales
ASV3198,Acidobacteriota,Acidobacteriales
ASV3199,Firmicutes,Bacillales
ASV3200,Proteobacteria,Acetobacterales
ASV3201,Proteobacteria,Others
ASV3202,Firmicutes,Bacillales
ASV3209,Acidobacteriota,Acidobacteriales
ASV3210,Planctomycetota,Others
ASV3211,Actinobacteriota,Others
ASV3214,Acidobacteriota,Others
ASV3215,Acidobacteriota,Others
ASV3219,Acidobacteriota,Others
ASV3221,Planctomycetota,Isosphaerales
ASV3222,Acidobacteriota,Others
ASV3224,Actinobacteriota,Frankiales
ASV3225,Proteobacteria,Acetobacterales
ASV3227,Planctomycetota,Isosphaerales
ASV3228,Proteobacteria,Others
ASV3230,Actinobacteriota,Frankiales
ASV3231,Actinobacteriota,Micrococcales
ASV3232,Proteobacteria,Caulobacterales
ASV3233,Actinobacteriota,Others
ASV3234,Acidobacteriota,Acidobacteriales
ASV3235,Planctomycetota,Isosphaerales
ASV3236,Proteobacteria,Acetobacterales
ASV3237,Proteobacteria,Acetobacterales
ASV3238,Proteobacteria,Others
ASV3239,Acidobacteriota,Acidobacteriales
ASV3241,Proteobacteria,Acetobacterales
ASV3242,Proteobacteria,Others
ASV3243,Planctomycetota,Isosphaerales
ASV3244,Proteobacteria,Others
ASV3245,Proteobacteria,Acetobacterales
ASV3246,Proteobacteria,Acetobacterales
ASV3248,Proteobacteria,Others
ASV3249,Proteobacteria,Others
ASV3253,Actinobacteriota,Others
ASV3254,Actinobacteriota,Others
ASV3255,Actinobacteriota,Others
ASV3256,Actinobacteriota,Frankiales
ASV3257,Actinobacteriota,Pseudonocardiales
ASV3259,Actinobacteriota,Solirubrobacterales
ASV3260,Acidobacteriota,Bryobacterales
ASV3261,Acidobacteriota,Acidobacteriales
ASV3263,Actinobacteriota,Others
ASV3264,Actinobacteriota,Others
ASV3265,Actinobacteriota,Solirubrobacterales
ASV3266,Actinobacteriota,Others
ASV3267,Actinobacteriota,Solirubrobacterales
ASV3268,Actinobacteriota,Others
ASV3270,Proteobacteria,Sphingomonadales
ASV3271,Actinobacteriota,Micrococcales
ASV3272,Proteobacteria,Acetobacterales
ASV3274,Acidobacteriota,Acidobacteriales
ASV3276,Proteobacteria,Others
ASV3279,Actinobacteriota,Others
ASV3281,Actinobacteriota,Pseudonocardiales
ASV3284,Acidobacteriota,Acidobacteriales
ASV3285,Acidobacteriota,Acidobacteriales
ASV3288,Actinobacteriota,Others
ASV3289,Proteobacteria,Sphingomonadales
ASV3290,Proteobacteria,Others
ASV3291,Actinobacteriota,Micrococcales
ASV3292,Firmicutes,Bacillales
ASV3293,Firmicutes,Bacillales
ASV3294,Firmicutes,Bacillales
ASV3295,Firmicutes,Bacillales
ASV3296,Actinobacteriota,Pseudonocardiales
ASV3297,Firmicutes,Bacillales
ASV3309,Proteobacteria,Others
ASV3310,Actinobacteriota,Pseudonocardiales
ASV3311,Proteobacteria,Acetobacterales
ASV3313,Acidobacteriota,Acidobacteriales
ASV3315,Proteobacteria,Acetobacterales
ASV3316,Proteobacteria,Others
ASV3317,Acidobacteriota,Others
ASV3318,Acidobacteriota,Others
ASV3319,Planctomycetota,Isosphaerales
ASV3320,Actinobacteriota,Others
ASV3321,Proteobacteria,Acetobacterales
ASV3323,Verrucomicrobiota,Chthoniobacterales
ASV3324,Acidobacteriota,Acidobacteriales
ASV3325,Actinobacteriota,Pseudonocardiales
ASV3328,Proteobacteria,Others
ASV3329,Actinobacteriota,Corynebacteriales
ASV3330,Planctomycetota,Tepidisphaerales
ASV3331,Proteobacteria,Others
ASV3332,Actinobacteriota,Others
