"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV1910";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisphaera";NA
"ASV1911";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1913";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV1914";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV1915";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1917";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1919";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1920";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV1921";"Bacteria";"Firmicutes";"Bacilli";NA;NA;NA;NA
"ASV1922";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"ASV1927";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA;NA
"ASV1930";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1933";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1936";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV1937";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV1938";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV1939";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV1941";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1942";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV1943";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV1944";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1947";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"ASV1948";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1950";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV1951";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1952";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV1953";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1954";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"Nitrospiraceae";"Nitrospira";NA
"ASV1955";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV1956";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Acidothermaceae";"Acidothermus";NA
"ASV1957";"Bacteria";"Proteobacteria";NA;NA;NA;NA;NA
"ASV1958";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"ASV1959";"Bacteria";"Actinobacteriota";"Actinobacteria";"Streptosporangiales";"Thermomonosporaceae";"Actinoallomurus";NA
"ASV1960";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV1961";"Bacteria";"Firmicutes";"Clostridia";NA;"Hungateiclostridiaceae";"Anaerobacterium";NA
"ASV1962";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1964";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA;NA
"ASV1966";"Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"JG30-KF-CM45";NA;NA
"ASV1971";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria Incertae Sedis";"Unknown Family_4";"Acidibacter";NA
"ASV1972";"Bacteria";"Bacteroidota";"Bacteroidia";NA;NA;NA;NA
"ASV1973";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1974";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"ASV1975";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV1976";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"ASV1979";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidocella";NA
"ASV1982";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV1983";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV1984";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV1985";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1986";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV1989";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1990";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1991";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV1992";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1993";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1994";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1995";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";NA
"ASV1996";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1998";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2000";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";"Aurantisolimonas";NA
"ASV2001";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV2002";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2003";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"1174-901-12";NA
"ASV2005";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2006";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";NA;NA;NA
"ASV2011";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";NA
"ASV2016";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2017";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV2018";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV2019";"Bacteria";"Firmicutes";"Bacilli";"Staphylococcales";"Staphylococcaceae";"Staphylococcus";NA
"ASV2020";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Endobacter";NA
"ASV2023";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2026";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2027";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV2028";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2029";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV2030";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;NA
"ASV2031";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2033";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2034";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"LWQ8";NA;NA
"ASV2035";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2037";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2038";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2039";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2040";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV2041";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV2042";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Singulisphaera";NA
"ASV2043";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2044";"Bacteria";"Actinobacteriota";"Actinobacteria";"Streptomycetales";"Streptomycetaceae";"Streptomyces";NA
"ASV2046";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylorosula";NA
"ASV2047";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2050";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV2052";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2053";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2054";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2055";"Bacteria";"Firmicutes";"Bacilli";NA;NA;NA;NA
"ASV2063";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"ASV2064";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2066";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Subgroup 2";NA;NA;NA
"ASV2067";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2068";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Alteromonadales";"Alteromonadaceae";"Alishewanella";NA
"ASV2070";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2071";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2072";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2075";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2078";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2080";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2081";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2083";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV2084";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisphaera";NA
"ASV2087";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2088";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV2089";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2090";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2092";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2093";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2094";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2096";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Marmoricola";NA
"ASV2097";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2098";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";NA;NA;NA
"ASV2099";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2101";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";NA
"ASV2102";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"ASV2104";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";NA;NA
"ASV2105";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV2106";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV2107";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2109";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2111";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Nocardioides";NA
"ASV2113";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";NA;NA;NA
"ASV2114";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2119";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";NA
"ASV2121";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";NA
"ASV2123";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2124";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"Chthoniobacteraceae";"LD29";NA
"ASV2125";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"1174-901-12";NA
"ASV2129";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2130";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV2131";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2134";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2135";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2137";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2138";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2139";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2140";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisoma";NA
"ASV2142";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2143";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2145";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2146";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2148";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2150";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV2151";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2152";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2153";"Bacteria";"Firmicutes";"Bacilli";NA;NA;NA;NA
"ASV2155";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Geodermatophilaceae";"Klenkia";NA
"ASV2156";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";NA;NA;NA
"ASV2157";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;NA
"ASV2167";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium-Methylorubrum";NA
"ASV2169";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV2170";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"PMMR1";NA
"ASV2171";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2172";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2174";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2178";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV2179";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2181";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2182";"Bacteria";"Firmicutes";"Bacilli";"Staphylococcales";"Staphylococcaceae";"Staphylococcus";NA
"ASV2183";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2184";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2185";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2186";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2188";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2189";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2190";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2191";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2193";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2195";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2196";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2197";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2198";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2199";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV2200";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2201";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2202";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Cutibacterium";NA
"ASV2203";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";NA;NA;NA
"ASV2204";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2205";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV2206";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2208";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2209";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV2210";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV2211";"Bacteria";"Actinobacteriota";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Actinomycetospora";NA
"ASV2212";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";NA;NA;NA
"ASV2216";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2217";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium-Methylorubrum";NA
"ASV2218";"Bacteria";"Proteobacteria";NA;NA;NA;NA;NA
"ASV2220";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Rhodanobacteraceae";"Rhodanobacter";NA
"ASV2221";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2222";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2224";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2225";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2226";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2229";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2233";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2234";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2239";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2240";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2241";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV2243";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2244";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2245";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"Thermosporothrix";NA
"ASV2246";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV2247";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2250";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2251";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2252";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2253";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"ASV2255";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2256";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2257";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV2258";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV2259";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"ASV2261";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2262";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Endobacter";NA
"ASV2263";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"LWQ8";NA;NA
"ASV2264";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";NA;NA;NA
