"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV1506";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV1507";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Endobacter";NA
"ASV1509";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1511";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium";NA
"ASV1512";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV1515";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV1518";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"Chthoniobacteraceae";NA;NA
"ASV1519";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1521";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV1523";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV1524";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1525";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV1526";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"ASV1529";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"ASV1530";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Corynebacteriaceae";"Corynebacterium";NA
"ASV1531";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV1532";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1533";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1534";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV1535";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1536";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1537";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"PMMR1";NA
"ASV1538";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1539";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"ASV1540";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Patulibacter";NA
"ASV1541";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV1542";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1543";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV1544";"Bacteria";"Actinobacteriota";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Actinomycetospora";NA
"ASV1545";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1546";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV1547";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV1548";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV1553";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";NA;NA;NA
"ASV1554";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1555";"Bacteria";"Verrucomicrobiota";"Chlamydiae";"Chlamydiales";"Parachlamydiaceae";NA;NA
"ASV1556";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV1559";"Bacteria";"Actinobacteriota";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Actinomycetospora";NA
"ASV1560";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV1562";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"ASV1563";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV1564";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV1565";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"ASV1566";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV1567";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1568";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1571";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1572";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"ASV1573";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV1574";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";NA
