"","C-FOMI-AGAR-POT-63-16S","C-FOMI-AGAR-POT-64-16S","C-PENI-AGAR-OAT-65-16S","C-PENI-AGAR-OAT-66-16S","C-PENI-AGAR-POT-56-16S","C-PENI-AGAR-POT-57-16S","C-PENI-AGAR-POT-62-16S","C-UNKN-AGAR-OAT-50-16S","C-UNKN-AGAR-OAT-52-16S","C-UNKN-AGAR-OAT-59-16S","C-UNKN-AGAR-OAT-60-16S","C-UNKN-AGAR-OAT-61-16S","C-UNKN-AGAR-POT-55-16S","C-UNKN-AGAR-POT-67-16S","F-MSUB-WOOD-EPB-20-16S","F-MSUB-WOOD-EPB-22-16S","F-MSUB-WOOD-SAB-28-16S","L-CBRA-BARK-BOJ-02-16S","L-CFUR-BARK-BOJ-01-16S","L-CFUR-BARK-BOJ-11-16S","L-CFUR-BARK-BOJ-12-16S","L-CFUR-WOOD-BOJ-15-16S","L-CSTE-BARK-UKN-42-16S","L-CSTE-WOOD-EPB-39-16S","L-CTRI-BARK-BOJ-06-16S","L-CTRI-BARK-BOJ-08-16S","L-CTRI-BARK-BOJ-21-16S","L-CTRI-BARK-BOJ-36-16S","L-CTRI-BARK-BOJ-46-16S","L-CTRI-WOOD-BOJ-26-16S"
"ASV104",0,0,0,0,0,0,4.21412173319146,0,0,0,0,0,0,0,0,0,0,7.69170144779443,5.40914403727211,4.12608165672493,5.449210011952,5.75336636868146,0,0,5.59139129891629,0,0,0,0,0
"ASV105",3.25088443472866,6.05842691484253,0,3.92461300970249,5.65698320289351,0,4.02583343452227,4.79090288208497,4.72937720340156,3.41241462209411,3.812236741275,4.84997221013579,4.02983007942743,5.20276788611211,4.85376883610943,5.83801599418467,0,0,0,0,0,0,0,0,4.12705092677855,0,0,5.99939347212946,0,3.06000183547625
"ASV106",0,0,0,0,7.22342781552334,0,0,7.23336011922662,6.38083201938842,0,6.84935376770357,0,0,3.69131941685597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV107",4.46403945671636,0,0,0,5.06136961969284,4.38655008001745,3.24421653788547,5.55492752954933,5.9483071024003,3.69226153352378,3.812236741275,5.48440388579879,5.20276788611211,6.4604619237947,0,5.58837800390171,3.55721876857149,0,0,0,0,0,0,0,0,0,0,5.83696635303262,0,0
"ASV108",0,0,0,0,7.03602783024181,0,0,7.39800787278414,0,0,0,0,6.89242706480251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35997593064603,0,0
"ASV109",0,0,0,3.92461300970249,0,0,0,0,0,0,0,3.69035789326146,0,0,0,0,0,0,0,0,0,0,0,7.86204789850986,5.62506316143882,5.01135300837303,6.51727534845991,0,0,0
"ASV110",0,0,5.33262764473303,0,0,0,0,5.92254215530636,0,0,0,0,0,0,7.22726684622479,0,5.81110572049962,0,0,0,0,0,6.8089091785569,3.69131941685597,6.12611518180322,0,0,0,0,0
"ASV111",0,0,0,2.60398111002659,0,0,0,6.58345553871305,0,0,0,3.41052348130679,0,3.92557897962707,7.0146313618863,0,4.53296798524737,0,0,0,0,0,0,0,0,0,0,6.69639047951105,0,0
"ASV112",5.37380115182379,0,0,4.02886234577662,0,0,0,0,0,0,0,4.30282660421151,0,0,0,0,0,0,0,0,0,0,0,8.05967153132807,0,5.20178695471371,6.71809416152865,0,0,0
"ASV113",0,0,3.81507091403104,3.69035789326146,5.72062127762663,2.85443448339978,3.06000183547625,5.10870917808504,5.48237530309777,3.24907549934226,3.2471928104918,4.12608165672493,4.21813031247312,5.11069027568974,4.46403945671636,5.68712214246172,0,0,0,0,0,0,0,0,4.30379842084143,0,0,5.77848908093554,0,3.92158962618573
"ASV115",0,0,0,0,0,0,0,0,7.15393201998435,0,0,0,0,0,0,0,5.15648299571096,0,0,0,0,0,0,6.05378215293115,0,0,0,7.51711050927486,0,0
"ASV116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4002318620154,6.23816525004601,3.55721876857149,0,4.85190848233186,0,0,3.69131941685597,0,0,0,0,0
"ASV117",3.69409057446122,0,4.79477484908485,0,4.79190090983114,4.03170771161728,3.24421653788547,5.328738362142,5.0093314069448,3.41241462209411,3.0629611624422,5.20178695471371,5.01233244663676,5.55691470318073,6.08113926013996,5.19976226821802,3.2471928104918,0,0,0,0,0,0,0,0,0,0,5.68607330537979,0,0
"ASV118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41476315215969,6.30196615046454,3.2471928104918,0,4.60411851716103,0,0,0,0,0,0,0,0
"ASV119",0,0,2.85443448339978,4.12608165672493,5.52061093063562,0,3.80921976869313,4.6672397480831,5.83801599418467,0,3.69035789326146,4.66823649463597,4.53394269090796,4.53394269090796,3.56094036747309,5.65495258729187,0,0,0,0,0,0,0,0,2.8526135922884,4.38368958166871,0,5.94725692417298,0,3.55421827542867
"ASV121",0,0,0,4.38368958166871,5.10971004193674,2.30731403391093,3.24421653788547,5.328738362142,5.40711641943199,3.69226153352378,4.46025900284941,4.21715969204709,5.06234946917464,5.52159396394172,4.22092765425545,5.74938603602914,0,0,0,0,0,0,0,0,0,0,0,6.02477179576943,0,0
"ASV125",0,0,0,0,0,0,6.19092101787551,0,0,0,0,0,0,0,5.06517337476548,0,0,0,0,0,0,0,0,0,7.40969958964062,6.4407013181228,6.12802812300938,0,0,3.68734844491572
"ASV126",0,0,0,0,4.46025900284941,0,3.24421653788547,5.15548176414625,4.30082075013562,0,0,0,0,0,0,3.81024719328316,0,0,2.60398111002659,0,0,0,0,6.42266729459546,0,7.84686855085396,3.69318501154661,0,0,3.80921976869313
"ASV129",0,0,0,0,0,0,0,0,0,0,0,4.30282660421151,0,0,0,0,0,0,0,0,6.92078524864368,0,0,0,0,0,7.98575958158789,0,0,5.40606931458204
"ASV130",0,0,0,4.60218723558553,5.20178695471371,2.30731403391093,2.60107412473747,5.28733564901135,5.32771431319128,2.60582003835657,4.02886234577662,4.46025900284941,4.732370330589,5.15746358935306,4.38746632135826,5.92151468248328,0,0,0,0,0,0,0,0,4.02983007942743,0,0,5.65390393269558,0,2.60107412473747
