OTU,Phylum,Order
ASV718,Proteobacteria,Acetobacterales
ASV719,Proteobacteria,Sphingomodales
ASV722,Acidobacteriota,Acidobacteriales
ASV723,WPS-2,WPS-2
ASV725,Verrucomicrobiota,Chthoniobacterales
ASV727,Actinobacteriota,Others
ASV730,Proteobacteria,Acetobacterales
ASV731,Planctomycetota,Isosphaerales
ASV732,WPS-2,WPS-2
ASV734,Firmicutes,Paenibacillales
ASV735,Firmicutes,Paenibacillales
ASV736,Firmicutes,Paenibacillales
ASV737,Others,Others
ASV739,Proteobacteria,Caulobacterales
ASV740,Verrucomicrobiota,Chthoniobacterales
ASV742,Planctomycetota,Isosphaerales
ASV743,Acidobacteriota,Acidobacteriales
ASV745,Acidobacteriota,Acidobacteriales
ASV746,Verrucomicrobiota,Chthoniobacterales
ASV747,Planctomycetota,Isosphaerales
ASV748,Proteobacteria,Acetobacterales
ASV750,Proteobacteria,Acetobacterales
ASV751,Proteobacteria,Acetobacterales
ASV752,Planctomycetota,Isosphaerales
ASV753,Actinobacteriota,Corynebacteriales
ASV754,Actinobacteriota,Corynebacteriales
ASV755,Proteobacteria,Acetobacterales
ASV756,Proteobacteria,Acetobacterales
ASV757,Proteobacteria,Acetobacterales
ASV758,Verrucomicrobiota,Chthoniobacterales
ASV762,Actinobacteriota,Others
ASV763,WPS-2,WPS-2
ASV764,Proteobacteria,Acetobacterales
ASV766,Proteobacteria,Others
ASV768,WPS-2,WPS-2
ASV769,Proteobacteria,Acetobacterales
ASV770,Planctomycetota,Isosphaerales
ASV771,Verrucomicrobiota,Chthoniobacterales
ASV772,Firmicutes,Paenibacillales
ASV774,Acidobacteriota,Acidobacteriales
ASV775,Proteobacteria,Others
ASV776,Proteobacteria,Others
ASV777,Acidobacteriota,Acidobacteriales
ASV780,Acidobacteriota,Acidobacteriales
ASV781,Proteobacteria,Others
ASV782,Actinobacteriota,Corynebacteriales
ASV783,Actinobacteriota,Others
ASV784,Actinobacteriota,Others
ASV785,Proteobacteria,Others
ASV789,Actinobacteriota,Others
ASV790,Actinobacteriota,Pseudonocardiales
ASV791,Actinobacteriota,Others
ASV792,Actinobacteriota,Pseudonocardiales
ASV793,Planctomycetota,Isosphaerales
ASV794,Verrucomicrobiota,Chthoniobacterales
ASV796,Verrucomicrobiota,Chthoniobacterales
ASV797,Planctomycetota,Isosphaerales
ASV798,Proteobacteria,Others
ASV799,Actinobacteriota,IMCC26256
ASV801,WPS-2,WPS-2
ASV802,Proteobacteria,Sphingomodales
ASV803,Actinobacteriota,Others
ASV804,Verrucomicrobiota,Chthoniobacterales
ASV805,Proteobacteria,Acetobacterales
ASV806,Actinobacteriota,Frankiales
ASV807,Firmicutes,Paenibacillales
ASV809,Firmicutes,Others
ASV810,Proteobacteria,Acetobacterales
ASV811,Proteobacteria,Acetobacterales
ASV813,Actinobacteriota,Pseudonocardiales
ASV815,Acidobacteriota,Acidobacteriales
ASV816,Actinobacteriota,IMCC26256
ASV817,Proteobacteria,Sphingomodales
ASV818,Proteobacteria,Acetobacterales
ASV819,Acidobacteriota,Acidobacteriales
ASV820,Firmicutes,Others
ASV821,Verrucomicrobiota,Chthoniobacterales
ASV822,Acidobacteriota,Acidobacteriales
ASV823,Acidobacteriota,Acidobacteriales
ASV827,Others,Others
ASV829,WPS-2,WPS-2
ASV830,Proteobacteria,Others
ASV831,Proteobacteria,Others
ASV832,Acidobacteriota,Acidobacteriales
ASV834,Acidobacteriota,Acidobacteriales
ASV835,Actinobacteriota,Others
ASV836,Proteobacteria,Others
ASV839,Acidobacteriota,Acidobacteriales
ASV843,Actinobacteriota,Others
ASV846,Proteobacteria,Acetobacterales
ASV847,Proteobacteria,Acetobacterales
ASV848,Acidobacteriota,Acidobacteriales
ASV851,Proteobacteria,Acetobacterales
ASV852,Proteobacteria,Acetobacterales
ASV853,Actinobacteriota,Corynebacteriales
ASV854,Acidobacteriota,Acidobacteriales
ASV855,Proteobacteria,Others
ASV856,Others,Others
ASV857,Proteobacteria,Others
ASV860,Proteobacteria,Acetobacterales
ASV863,Proteobacteria,Acetobacterales
ASV864,Proteobacteria,Acetobacterales
ASV865,Actinobacteriota,Others
ASV868,Actinobacteriota,Micrococcales
ASV869,Actinobacteriota,Pseudonocardiales
ASV870,Actinobacteriota,Corynebacteriales
ASV871,Proteobacteria,Others
ASV872,Proteobacteria,Acetobacterales
ASV873,Acidobacteriota,Acidobacteriales
ASV874,Acidobacteriota,Acidobacteriales
ASV877,Proteobacteria,Others
ASV879,Others,Others
ASV880,Actinobacteriota,Others
ASV881,Proteobacteria,Acetobacterales
ASV883,Proteobacteria,Acetobacterales
ASV884,WPS-2,WPS-2
ASV885,Proteobacteria,Acetobacterales
ASV886,Planctomycetota,Others
ASV887,Acidobacteriota,Acidobacteriales
ASV888,Acidobacteriota,Acidobacteriales
ASV889,Verrucomicrobiota,Chthoniobacterales
ASV890,Acidobacteriota,Acidobacteriales
ASV892,Proteobacteria,Sphingomodales
ASV899,Actinobacteriota,IMCC26256
ASV900,Actinobacteriota,Others
ASV901,Actinobacteriota,IMCC26256
ASV902,Verrucomicrobiota,Chthoniobacterales
ASV903,Proteobacteria,Sphingomodales
ASV904,Actinobacteriota,Others
ASV907,Proteobacteria,Acetobacterales
ASV908,Others,Bacteroidota
ASV911,Proteobacteria,Others
ASV912,Proteobacteria,Acetobacterales
ASV913,Planctomycetota,Others
ASV914,Proteobacteria,Acetobacterales
ASV917,Proteobacteria,Others
ASV918,Actinobacteriota,Others
ASV920,Planctomycetota,Isosphaerales
ASV921,Planctomycetota,Isosphaerales
ASV924,Proteobacteria,Acetobacterales
ASV925,Proteobacteria,Acetobacterales
ASV926,Proteobacteria,Others
ASV928,Proteobacteria,Acetobacterales
ASV929,Actinobacteriota,Frankiales
ASV932,Actinobacteriota,Micrococcales
ASV933,Actinobacteriota,Corynebacteriales
ASV941,Proteobacteria,Acetobacterales
ASV942,Planctomycetota,Isosphaerales
ASV943,Actinobacteriota,Corynebacteriales
ASV944,Proteobacteria,Acetobacterales
ASV945,Proteobacteria,Others
ASV948,Actinobacteriota,Others
ASV949,Actinobacteriota,Corynebacteriales
ASV953,Acidobacteriota,Acidobacteriales
ASV954,Acidobacteriota,Others
ASV957,Actinobacteriota,Micrococcales
ASV958,Proteobacteria,Acetobacterales
ASV959,Actinobacteriota,Others
ASV960,Acidobacteriota,Acidobacteriales
ASV962,Acidobacteriota,Acidobacteriales
ASV963,Acidobacteriota,Acidobacteriales
ASV964,Proteobacteria,Acetobacterales
ASV966,Planctomycetota,Isosphaerales
ASV968,Proteobacteria,Acetobacterales
ASV971,Actinobacteriota,Others
ASV975,Proteobacteria,Others
ASV977,Others,Others
ASV978,Verrucomicrobiota,Chthoniobacterales
ASV979,Proteobacteria,Acetobacterales
ASV980,Proteobacteria,Acetobacterales
ASV981,WPS-2,WPS-2
ASV982,Actinobacteriota,Others
ASV983,Firmicutes,Others
ASV984,Actinobacteriota,Pseudonocardiales
ASV985,Others,Chloroflexi
ASV988,Actinobacteriota,Others
ASV989,Acidobacteriota,Acidobacteriales
ASV990,Proteobacteria,Others
ASV991,Proteobacteria,Caulobacterales
ASV993,Actinobacteriota,Others
ASV994,Actinobacteriota,Frankiales
ASV995,Acidobacteriota,Acidobacteriales
ASV997,Actinobacteriota,Micrococcales
ASV998,Planctomycetota,Isosphaerales
ASV999,Proteobacteria,Others
ASV1001,Actinobacteriota,Pseudonocardiales
ASV1010,Actinobacteriota,Frankiales
ASV1012,Proteobacteria,Others
ASV1015,Actinobacteriota,Others
ASV1016,Acidobacteriota,Acidobacteriales
ASV1021,Actinobacteriota,Frankiales
ASV1022,Proteobacteria,Acetobacterales
ASV1023,WPS-2,WPS-2
ASV1024,Proteobacteria,Acetobacterales
ASV1027,Proteobacteria,Sphingomodales
ASV1028,Proteobacteria,Caulobacterales
ASV1030,Patescibacteria,Saccharimodales
ASV1032,Proteobacteria,Acetobacterales
ASV1035,Acidobacteriota,Others
ASV1036,Verrucomicrobiota,Chthoniobacterales
ASV1037,Proteobacteria,Others
ASV1040,Planctomycetota,Others
ASV1042,WPS-2,WPS-2
ASV1043,Proteobacteria,Acetobacterales
ASV1047,WPS-2,WPS-2
ASV1052,Acidobacteriota,Acidobacteriales
ASV1053,Acidobacteriota,Others
ASV1055,Proteobacteria,Sphingomodales
ASV1057,Proteobacteria,Acetobacterales
ASV1058,Proteobacteria,Acetobacterales
ASV1061,Proteobacteria,Others
ASV1062,Proteobacteria,Acetobacterales
ASV1063,Acidobacteriota,Acidobacteriales
ASV1064,Proteobacteria,Acetobacterales
ASV1065,Acidobacteriota,Acidobacteriales
ASV1066,WPS-2,WPS-2
ASV1067,Actinobacteriota,Others
ASV1068,Actinobacteriota,Others
ASV1069,Verrucomicrobiota,Chthoniobacterales
ASV1070,Proteobacteria,Acetobacterales
ASV1071,Acidobacteriota,Acidobacteriales
ASV1072,Proteobacteria,Sphingomodales
ASV1076,Acidobacteriota,Acidobacteriales
ASV1077,Others,Others
ASV1078,Proteobacteria,Acetobacterales
ASV1082,Verrucomicrobiota,Chthoniobacterales
ASV1088,WPS-2,WPS-2
ASV1089,Proteobacteria,Acetobacterales
ASV1091,Planctomycetota,Isosphaerales
ASV1092,Actinobacteriota,Micrococcales
ASV1093,Others,Others
ASV1094,Verrucomicrobiota,Chthoniobacterales
ASV1095,Proteobacteria,Acetobacterales
ASV1096,Actinobacteriota,Others
ASV1097,Actinobacteriota,Others
ASV1098,Actinobacteriota,Others
ASV1099,Actinobacteriota,Frankiales
ASV1101,Acidobacteriota,Acidobacteriales
ASV1102,Proteobacteria,Acetobacterales
ASV1103,Proteobacteria,Acetobacterales
ASV1108,Proteobacteria,Acetobacterales
ASV1109,Others,Others
ASV1110,Planctomycetota,Isosphaerales
ASV1112,Acidobacteriota,Acidobacteriales
ASV1117,Proteobacteria,Acetobacterales
ASV1118,Proteobacteria,Acetobacterales
ASV1119,Proteobacteria,Acetobacterales
ASV1120,Actinobacteriota,Corynebacteriales
ASV1121,Proteobacteria,Others
ASV1122,Acidobacteriota,Acidobacteriales
ASV1123,Actinobacteriota,Others
ASV1124,Actinobacteriota,Pseudonocardiales
ASV1125,Acidobacteriota,Acidobacteriales
ASV1126,Acidobacteriota,Acidobacteriales
ASV1128,Proteobacteria,Acetobacterales
ASV1130,Acidobacteriota,Acidobacteriales
ASV1136,Proteobacteria,Acetobacterales
ASV1138,Actinobacteriota,Others
ASV1141,Acidobacteriota,Others
ASV1145,Proteobacteria,Sphingomodales
ASV1146,Proteobacteria,Acetobacterales
ASV1147,Planctomycetota,Isosphaerales
ASV1149,Proteobacteria,Acetobacterales
ASV1154,Acidobacteriota,Acidobacteriales
ASV1155,Acidobacteriota,Acidobacteriales
ASV1156,Acidobacteriota,Acidobacteriales
ASV1157,Verrucomicrobiota,Chthoniobacterales
ASV1158,Proteobacteria,Others
ASV1161,Acidobacteriota,Others
ASV1162,Proteobacteria,Acetobacterales
ASV1166,Actinobacteriota,Others
ASV1169,Proteobacteria,Acetobacterales
ASV1170,Actinobacteriota,Others
ASV1172,Acidobacteriota,Others
ASV1173,Verrucomicrobiota,Chthoniobacterales
ASV1176,Acidobacteriota,Acidobacteriales
ASV1177,Acidobacteriota,Acidobacteriales
ASV1178,Proteobacteria,Acetobacterales
ASV1179,Proteobacteria,Acetobacterales
ASV1180,Actinobacteriota,Micrococcales
ASV1181,WPS-2,WPS-2
ASV1182,Actinobacteriota,Others
ASV1183,Acidobacteriota,Acidobacteriales
ASV1184,Actinobacteriota,Others
ASV1193,Actinobacteriota,Others
ASV1195,Planctomycetota,Isosphaerales
ASV1196,Proteobacteria,Acetobacterales
ASV1197,Proteobacteria,Others
ASV1198,Proteobacteria,Caulobacterales
ASV1199,Acidobacteriota,Acidobacteriales
ASV1200,Verrucomicrobiota,Chthoniobacterales
ASV1201,Actinobacteriota,Frankiales
ASV1203,Acidobacteriota,Acidobacteriales
ASV1210,WPS-2,WPS-2
ASV1221,Acidobacteriota,Others
ASV1224,Actinobacteriota,Micrococcales
ASV1225,Proteobacteria,Acetobacterales
ASV1226,Acidobacteriota,Acidobacteriales
ASV1227,Acidobacteriota,Acidobacteriales
