	genus	guild	confidenceRanking	C-FOMI-AGAR-POT-63-ITS_R1.fastq.gz	C-FOMI-AGAR-POT-64-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-65-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-66-ITS_R1.fastq.gz	C-PENI-AGAR-POT-56-ITS_R1.fastq.gz	C-PENI-AGAR-POT-57-ITS_R1.fastq.gz	C-PENI-AGAR-POT-62-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-50-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-52-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-59-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-60-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-61-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-55-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-67-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-20-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-22-ITS_R1.fastq.gz	F-MSUB-WOOD-SAB-28-ITS_R1.fastq.gz	L-CBRA-BARK-BOJ-02-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-01-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-11-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-12-ITS_R1.fastq.gz	L-CFUR-WOOD-BOJ-15-ITS_R1.fastq.gz	L-CSTE-BARK-UKN-42-ITS_R1.fastq.gz	L-CSTE-WOOD-EPB-39-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-06-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-08-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-21-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-36-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-46-ITS_R1.fastq.gz	L-CTRI-WOOD-BOJ-26-ITS_R1.fastq.gz
ASV474	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,54840663436224	0	0	0	0	0	0	0	0	0	0	0
ASV508	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,41837867635472	0	0	0	0	0	0	0	0	0	0	0
ASV677	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,79041106688112	0	0	0
ASV694	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,70710293254005	0	0	0	0	0	0	0	0	0	0
ASV778	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,39658059336163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV789	Capronia	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,35618564452047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV722	Carcinomyces	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,57474137128563	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV864	Carcinomyces	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,12687922314728	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV657	Carcinomycetaceae_gen_Incertae_sedis	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,83065016532093	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV730	Carcinomycetaceae_gen_Incertae_sedis	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,53930857875582	0	0	0	0	0	0	0	0	0	0	0	0	0
