name+AF8-sirius,Pathway,Class,Subclass
neg5630,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5641,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5645,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5667,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5711,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg6317,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg6346,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg677,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg6901,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7125,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7162,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7167,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7169,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7185,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7188,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7206,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7232,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7251,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7288,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7302,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7367,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7396,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7419,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7442,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7481,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7490,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7529,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7534,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7537,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7602,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7859,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7878,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7902,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg7922,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8054,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg825,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8291,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8306,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8431,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8587,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8752,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8835,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8928,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg8999,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9056,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9079,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg915,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9168,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9178,Amino acids and Peptides,Amino acids,Amino acids and derivatives
